reported_date_time,reported_date_time_utc,posted_date,city,state,country_code,shape,reported_duration,duration_seconds,Summary,has_images,day_part
1979-02-01T08:00:00Z,01/02/1979 08:00,19/01/2005,Lima,Lima,PE,circle,1-2 min.,120,i woke up and i saw this thing about 20 floors up not moving.,FALSE,night
1978-10-21T02:00:00Z,21/10/1978 02:00,01/02/2007,West Seneca,NY,US,triangle,10 min.,600,"two triangler, dark grey objects hovering at tree top level.",FALSE,night
1980-10-21T01:00:00Z,21/10/1980 01:00,25/06/2020,Winchester,MA,US,rectangle,20 minutes,1200,Huge rectangular craft with missing time,FALSE,night
1986-07-21T03:30:00Z,21/07/1986 03:30,09/09/2004,New Haven,CT,US,triangle,10 minutes,600,"""Black Triangle"" spotted in CT back in mid-eighties",FALSE,night
1975-07-15T21:00:00Z,15/07/1975 21:00,30/10/2006,Green Bay,WI,US,triangle,15 sec,15,"blacktriangles,hoovering or moving very slowly should of dropped out of the sky,no sound.no exhaust,day time sighting moved very fast.",FALSE,afternoon
1988-03-16T02:30:00Z,16/03/1988 02:30,24/02/2001,Gallup,NM,US,cylinder,1 minute,60,"Driving west on I-40 just after dark, saw lights strobing over median of hwy. Thought it might be a helicopter, but there was no noise",FALSE,astronomical dusk
1988-08-10T06:05:00Z,10/08/1988 06:05,05/08/2001,Denver,CO,US,other,10 mins or so,600,Brillant bright lights from the sky,FALSE,night
1990-06-16T02:00:00Z,16/06/1990 02:00,14/07/2013,El Paso,TX,US,triangle,30 minutes,1800,Triangles over the Golf Course,FALSE,afternoon
1986-10-16T02:00:00Z,16/10/1986 02:00,23/07/2000,Petaluma,CA,US,disk,30 minutes,1800,"Saw darting object in the night sky, move fast, stop, move fast stop. Then it flew  low over my house and I heard the UFO.",FALSE,nautical dusk
1986-06-15T18:00:00Z,15/06/1986 18:00,11/10/2005,Merritt,BC,CA,unknown,20 seconds,20,Silvery dot makes two fast jumps before disappearing behind mountains.,FALSE,NA
1994-06-15T07:00:00Z,15/06/1994 07:00,13/09/2018,Warsaw,IN,US,triangle,2 minutes,120,Triangle ship in Indiana.,FALSE,night
1986-09-18T21:00:00Z,18/09/1986 21:00,17/09/2000,Owensboro,KY,US,cylinder,approx 3 minutes,180,"""Baton-shaped"" object moving end-over-end in clear afternoon sky.",FALSE,afternoon
1994-11-21T06:30:00Z,21/11/1994 06:30,22/12/2022,Glenwood springs,CO,US,circle,1 minute,60,I witnessed a large circular aircraft UFO) in 1994 through the Glenwood springs Canyon.,FALSE,night
